paragraph_id,text_sha256,masked_host_text
PASSION24.HOUR.24.DESOL.P014,b48fa53340ab3e134d64de89c61075aa79ceab49ad4d41f48267ebe4f1b4ee91,"⟦Q:MARY⟧ » Maman affligée, tu penches ta tête sur celle de Jésus, tu Lui donnes des baisers, et tu enfermes tes pensées dans les Siennes. Oh ! comme tu voudrais ranimer son Intelligence avec la tienne, pour ainsi Lui donner vie pour Vie ! Maman affligée, je te vois donner des baisers aux Yeux éteints de Jésus. Oh ! comme tu souffres de constater que Jésus ne te regarde plus !"
PASSION24.HOUR.24.DESOL.P027,4a1e4cbe49f3b893fd71fd11420a5f8fb767b35f3235ccabae6146cb67b77084,"⟦Q:MARY⟧ » Ta douleur est telle, ô Maman, qu’elle te paralyse, te coupe la parole, et que tu es comme éteinte auprès du Visage de ton Jésus."
PASSION24.HOUR.24.DESOL.P037,d2e153515dc6a4b42ffab8aee6cffba2d114db860020c964260620e20f68f5c3,"⟦Q:MARY⟧ » Maman torturée, je vois que tu te hâtes, car ceux qui sont autour de toi veulent fermer le sépulcre."
PASSION24.SECTION.BENEFITS.P102,e8cf7c9532d011ddcdb3e325a8c00c4e62277f85292bcc363554f92f0f6d16a2,⟦Q:JESUS⟧» Il ajouta : «⟦Q:JESUS⟧
PASSION24.SECTION.BENEFITS.P116,b3ed347dba153e5287b4f32298a8692059f6ee73c490cfff16865f542ff705eb,"⟦Q:JESUS⟧» Un jour, alors que j'en étais à l'Heure où la céleste Maman participa à l'ensevelissement de Jésus, je me tenais près d'elle pour la consoler."
PASSION24.SECTION.BENEFITS.P122,618de3968214a522b2eb4060fe2bf1c5d72f9e062284c294c867f52b4cbe8921,"Ensuite, Il m'embrassa et me dit avec une grande douceur : «⟦Q:JESUS⟧» Et Il me murmura tout ce que sa douce Maman fit et souffrit durant cette Heure."
PASSION24.SECTION.BENEFITS.P136,cb98d783303cb8bebf4ca989ab4b87890bf82f6d59867fddf1d94012c24029fc,⟦Q:JESUS⟧» Jésus béni ajouta : «
PASSION24.SECTION.BENEFITS.P149,7a34ae5d5b22108be211dfb67e771e3f786d2bb77945ad491ba9b6fe91356c2a,⟦Q:JESUS⟧» Puis Il
PASSION24.TEXT.PART_III_MARY_SORROWS.BODY.P057,11fadb1c9becbd9fd8f76160ceeffaa2929af280bbbf6f0b916618ff8166a354,"⟦Q:JESUS⟧ ""Il est à la fois ancien et nouveau."""
PASSION24.TEXT.PART_III_MARY_SORROWS.BODY.P069,70aeea302df7fb63f894fb7c8780d9438a111080c5cca40b481e16814a6b51ba,⟦Q:JESUS⟧.
